"filename", "language", "Java", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/ApplicationWebXml.java", "Java", 11, 5, 4, 20
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/GeneratedByJHipster.java", "Java", 11, 0, 3, 14
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/TravelTutorialCompleteApp.java", "Java", 89, 12, 9, 110
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/aop/logging/LoggingAspect.java", "Java", 74, 32, 10, 116
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/ApplicationProperties.java", "Java", 4, 6, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/AsyncConfiguration.java", "Java", 39, 0, 8, 47
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/CacheConfiguration.java", "Java", 76, 1, 12, 89
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/CamundaConfiguration.java", "Java", 27, 38, 8, 73
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/Constants.java", "Java", 7, 4, 5, 16
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/DatabaseConfiguration.java", "Java", 44, 6, 8, 58
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/DateTimeFormatConfiguration.java", "Java", 14, 3, 4, 21
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/JacksonConfiguration.java", "Java", 31, 13, 8, 52
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/LiquibaseConfiguration.java", "Java", 61, 2, 7, 70
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/LocaleConfiguration.java", "Java", 22, 0, 5, 27
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/LoggingAspectConfiguration.java", "Java", 14, 0, 4, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/LoggingConfiguration.java", "Java", 37, 3, 8, 48
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/SecurityConfiguration.java", "Java", 49, 56, 8, 113
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/StaticResourcesWebConfiguration.java", "Java", 19, 30, 3, 52
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/WebConfigurer.java", "Java", 85, 23, 14, 122
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/config/package-info.java", "Java", 1, 3, 1, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/CalculateTotalDelegate.java", "Java", 80, 2, 16, 98
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/ConfirmationEmailDelegate.java", "Java", 44, 0, 8, 52
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/DefaultEmailDelegate.java", "Java", 33, 0, 9, 42
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/DefaultLogDelegate.java", "Java", 23, 0, 6, 29
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/PaymentDelegate.java", "Java", 65, 2, 9, 76
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/StartPlanDelegate.java", "Java", 20, 5, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/java/org/agilekip/tutorials/travelcomplete/delegates/SyncTimeOutDelegate.java", "Java", 27, 2, 7, 36
